"fecha","tasa_cetes","inflacion","pib","ln_tc","td","ln_ipc"
"05/2018",0.0751,0.0451,NULL,2.99453,0.03223,10.70689
"06/2018",0.0764,0.0465,0.03244,2.98017,0.03373,10.77191
"07/2018",0.0773,0.0481,NULL,2.92562,0.03472,10.81372
"08/2018",0.0773,0.0490,NULL,2.95383,0.03457,10.81069
"09/2018",0.0769,0.0502,0.02822,2.92976,0.03581,10.80981
"10/2018",0.0769,0.0490,NULL,3.01149,0.03265,10.69064
"11/2018",0.0783,0.0472,NULL,3.01286,0.03248,10.63904
"12/2018",0.0802,0.0483,0.01264,2.97814,0.03358,10.63682
"01/2019",0.0795,0.0437,NULL,2.94648,0.03563,10.69167
"02/2019",0.0793,0.0394,NULL,2.95807,0.03293,10.66485
"03/2019",0.0802,0.0400,0.01208,2.96413,0.03223,10.67548
"04/2019",0.0778,0.0441,NULL,2.94496,0.03498,10.70543
"05/2019",0.0807,0.0428,NULL,2.97770,0.03501,10.66310
"06/2019",0.0825,0.0395,-0.01120,2.95536,0.03565,10.67270
"07/2019",0.0814,0.0378,NULL,2.94407,0.03736,10.61798
"08/2019",0.0801,0.0316,NULL,2.99921,0.03706,10.66014
"09/2019",0.0772,0.0300,-0.00180,2.98237,0.03780,10.66922
"10/2019",0.0766,0.0302,NULL,2.95464,0.03691,10.67677
"11/2019",0.0747,0.0297,NULL,2.97222,0.03418,10.66476
"12/2019",0.0712,0.0283,-0.00630,2.93727,0.02905,10.68146
"01/2020",0.0712,0.0324,NULL,2.93960,0.03779,10.69440
"02/2020",0.0696,0.0370,NULL,2.98447,0.03530,10.62921
"03/2020",0.0681,0.0325,-0.00870,3.15635,0.02908,10.45029
"04/2020",0.0609,0.0215,NULL,3.17506,0.04686,10.50425
"05/2020",0.0547,0.0284,NULL,3.09909,0.04192,10.49468
"06/2020",0.0506,0.0333,-0.18600,3.13937,0.05492,10.53785
"07/2020",0.0482,0.0362,NULL,3.10015,0.05350,10.51920
"08/2020",0.0449,0.0405,NULL,3.08594,0.05257,10.51436
"09/2020",0.0438,0.0401,-0.08410,3.09756,0.05128,10.53099
"10/2020",0.0420,0.0409,NULL,3.05639,0.04708,10.51835
"11/2020",0.0423,0.0333,NULL,3.00270,0.04353,10.64015
"12/2020",0.0427,0.0315,-0.04310,2.99116,0.03790,10.69346
"01/2021",0.0422,0.0354,NULL,3.00691,0.04702,10.66862
"02/2021",0.0412,0.0376,NULL,3.04161,0.04397,10.70533
"03/2021",0.0405,0.0467,-0.03850,3.01749,0.03870,10.76313
"04/2021",0.0407,0.0608,NULL,3.00480,0.04652,10.77916
"05/2021",0.0406,0.0589,NULL,2.99179,0.03993,10.83734
"06/2021",0.0402,0.0588,0.19900,2.99103,0.04023,10.82556
"07/2021",0.0432,0.0581,NULL,2.98798,0.04382,10.83700
"08/2021",0.0446,0.0559,NULL,2.99875,0.04326,10.88378
"09/2021",0.0455,0.0600,0.04484,3.02346,0.04184,10.84711
"10/2021",0.0484,0.0624,NULL,3.02187,0.03949,10.84564
"11/2021",0.0505,0.0737,NULL,3.06551,0.03664,10.81373
"12/2021",0.0529,0.0736,0.01122,3.01882,0.03514,10.88317
