fecha,tasa_cetes,inflacion,pib,ln_tc,td,ln_ipc,ln_actvindustrial,ln_inpp,ahorro,ln_export,ln_import,inversion
jun-11,0.0437,0.0328,0.02765,2.46155,0.054,10.50666,4.59098,4.29722,0.2291,10.32203,10.31893,0.1122
jul-11,0.0414,0.0355,0.03194,2.46321,0.05477,10.49126,4.58162,4.30404,0.2292,10.23454,10.27611,0.1026
ago-11,0.0405,0.0342,0.03623,2.51349,0.05705,10.4835,4.59718,4.30652,0.2294,10.3566,10.38259,0.1333
sep-11,0.0423,0.0314,0.04052,2.62463,0.05432,10.4194,4.57622,4.31484,0.2295,10.26724,10.33022,0.0797
oct-11,0.0436,0.032,0.04078,2.57872,0.04993,10.49571,4.62199,4.32351,0.235,10.30973,10.32727,0.0817
nov-11,0.0435,0.0348,0.04103,2.6108,0.04961,10.51404,4.61952,4.33312,0.2406,10.34341,10.34973,0.1354
dic-11,0.0434,0.0382,0.04129,2.63531,0.04506,10.52077,4.59357,4.34102,0.2461,10.28149,10.27971,0.1131
ene-12,0.0427,0.0405,0.04356,2.56554,0.04879,10.53003,4.57902,4.34492,0.2437,10.21397,10.22372,0.0634
feb-12,0.0432,0.0387,0.04584,2.54859,0.0528,10.54051,4.57054,4.34312,0.2412,10.30946,10.29273,0.1311
mar-12,0.0424,0.0373,0.04811,2.55017,0.04518,10.58459,4.62231,4.3465,0.2388,10.3832,10.33655,0.0884
abr-12,0.0429,0.0341,0.04536,2.5645,0.04857,10.58307,4.57824,4.34739,0.2402,10.33853,10.32488,0.0831
may-12,0.0439,0.0385,0.04261,2.66059,0.04673,10.54199,4.62706,4.34989,0.2417,10.40836,10.39824,0.0911
jun-12,0.0434,0.0434,0.03986,2.59588,0.04751,10.60161,4.61378,4.35158,0.2431,10.318,10.29747,0.0046
jul-12,0.0415,0.0442,0.03574,2.58651,0.04992,10.61409,4.62386,4.35029,0.2404,10.31872,10.33215,0.0771
ago-12,0.0413,0.0457,0.03161,2.58453,0.05327,10.58207,4.62451,4.35396,0.2378,10.36281,10.39335,0.0293
sep-12,0.0417,0.0477,0.02749,2.55486,0.04905,10.61808,4.60178,4.35678,0.2351,10.28465,10.27745,0.0455
oct-12,0.0421,0.046,0.02864,2.57193,0.0503,10.63634,4.64187,4.35398,0.2363,10.43234,10.47911,0.0563
nov-12,0.0429,0.0418,0.02979,2.5593,0.05047,10.64145,4.62957,4.35444,0.2374,10.35676,10.39563,0.0139
dic-12,0.0405,0.0357,0.03094,2.56232,0.04395,10.68524,4.57274,4.35308,0.2386,10.31591,10.28219,-0.0595
